id,left_idProduct,left_idSeller,left_idSellerProduct,left_brandSeller,left_nameSeller,left_descriptionSeller,right_idProduct,right_idSeller,right_idSellerProduct,right_brandSeller,right_nameSeller,right_descriptionSeller,label
9022,4329157,338,314808,bosch,bosch waw28560eu pralni stroj,,6188173,107,56818,bosch,bosch pralni stroj wat28661me,pralni stroj bosch wat28661me pralni stroj sprednjim polnjenjem resnično varčen energijo vodo zaslužil oznako a 1400 vrtljaji minuto spada najzmogljivejše pralne stroje tržišču deluje izredno tiho invertnega motorja zato lahko vklopite podnevi ponoči motil posebnosti ekonomičnost specifikacija pralnega stroja jasno kaže običajni uporabi 220 cikli letno porabi 9900 l vode 137 kwh zato spada energijski razred a lahko vstavimo 9 kg perila naenkrat fuzzy logic sistem fuzzy logic omogoča zaznavanje vrste teže vloženega blaga podlagi stroj samodejno prilagodi porabo vode program prisotnega manj perila pralni stroj načrpa manj vode potrebno manj energije časa segreje časovnik glede želje potrebe sami upravljamo kdaj program zagnal delovanje lahko sprožimo vnaprej nastavimo ustrezen čas stroj vklopi prilagajali vselej prisotni zagon ključna značilnost stroj odlikuje hitra centrifuga pomeni minuti boben zavrti 1400krat zagotovi učinkovito ožemanje oblačil posledično perilo hitreje posuši potrebi lahko program prilagodimo ožemanje izklopimo,0
5858,9039493,114,18331097,bosch,pralni stroj bosch wat28411 serie 6 varioperfect,ecosilence drive izjemno energijsko učinkovito tiho delovanje zelo dolgo življenjsko dobo 10 let jamstva inverter motor razred energijske učinkovitosti a 30 30 varčnejši najvišjega energijskega razreda prikaz porabe energije i,9651010,342,1306298,electrolux,electrolux pralni stroji ewt1062ifw,electrolux pralni stroj zgornjim polnjenjem ewt1062ifw ponaša zmogljivostjo pranja 6 kg uvršča energijski razred a prinaša številne programe pranja omogoča zamik vklopa,0
6310,7491588,98,pralnistrojaegl7fbe48s,,pralni stroj aeg l7fbe48s,,9651010,433,140994,,electrolux ewt 1062 ifw,ključne specifikacije zmogljivost pranja kg 6 razred energijske učinkovitosti a maksimalno število obratov minuto 1000 sistem motorja univerzalni prostornina bobna 42 programi vklopizklop bombaž bombaž ekonomično sintetika občutljivo volna plus svila odeja izpiranje črpanje ožemanje jeans zavese lahka športna oblačila 5 srajic 30 zunanje mere vxšxg mm 890x400x600 specifikacije pralni stroj zgornjim polnjenjem zmogljivost 6 kg največja hitrost ožemanja 1000 rpm poseben program svilena oblačila programi vklopizklop bombaž bombaž ekonomično sintetika občutljivo volna plus svila odeja izpiranje črpanje ožemanje jeans zavese lahka športna oblačila 5 srajic 30 zamik vklopa uravnotežen nadzor napolnjenega bobna tehnologija fuzzy logika prilagojena polnjenju podnožje 2 nastavljivi 2 fiksni nogici sistem prepečevanje izliva zmogljivost zmogljivost pranja kg 6 maksimalno število obratov minuto 1000 sistem motorja univerzalni prostornina bobna 42 učinek ožemanja c odstotek vlage maksimalnem ožemanju 60 glasnost pranju dba 57 glasnost ožemanju dba 74 vgradnja zunanje mere vxšxg mm 890x400x600 depth max mm 600 kolesa 2 nastavljivi 2 fiksni nogici varovalka a 10 energija razred energijske učinkovitosti a letna poraba el energije kwh 1670 letna poraba vode l 9490 priključna moč w 2200 frekvenca mhz 50 ostalo pnc 913 114 501 programi vklopizklop bombaž bombaž ekonomično sintetika občutljivo volna plus svila odeja izpiranje črpanje ožemanje jeans zavese lahka športna oblačila 5 srajic 30 dolžina kabla m 185 moč 230 certifikat woolmark woolmark blue pnc koda 913114501 garancija 2 leti možnost podaljšanja 5 let,0
6710,8844279,98,pralnistrojelectroluxew6f408wu,,pralni stroj electrolux ew6f408wu,,3727627,1146,1421137560,bosch,pralni stroj bosch wak24268by,,0
10366,5935703,338,781356,samsung,samsung ww70k5410uwle pralni stroj,,9039493,342,1349734,bosch,bosch pralni stroj wat28411,bosch pralni stroj 58l bobnom zmogljivostjo pranja 7 kg visokokakovosten učinkovit priročen pomočnik čiščenju oblačil ostalih tkanin,0
7519,9605899,114,18186825,gorenje,pralni stroj gorenje wei843,pralni stroj wei843 inverter motorjem odlikuje waveactive boben – unikatna oblika bobna prečk najboljšo nego perila inverter powerdrive motor velik pregleden displej prijazen zvočni signal softsound autowash allergycare program program speed,10766120,114,18341672,electrolux,pralni stroj electrolux ew8f148b,pralni stroj perfectcare 60 cm energijski razred a 50 učinek ožemanja b glasnost 51 db75 db invertni trajno magnetiziran indukcijski motor 1400 obrmin zmogljivost 8 kg elektronsko upravljanje gumbi prednji strani veliki lcd prikaz,0
2714,8610328,98,pralnistrojgorenjewt721227kgaplusplusplus1200omin,,pralni stroj gorenje wt72122 7kg a 1200 omin,,8610328,107,62462,gorenje,gorenje pralni stroj wt72122 664326,prostostoječi pralni stroj gorenje wt72122 664326 pralni stroj zgornjim polnjenjem ima zmogljivost pranja 7 kg perila energijskim razredom a zagotavlja nizko porabo energije vode letni ravni odlikujejo odlične varnostne nastavitve elektronsko upravljanje učinkovito ožemanje posebnosti nizka energijska poraba pralni stroj ponaša energijskim razredom a letni ravni porabi 174 kwh 8900 l vode glasnost pralnega stroja 58 db pranju 77 db ožemanju enostavna uporaba pralni stroj upravljate pomočjo vrtljivega gumba tipkami izbirali dodatne nastavitve številčni zaslon omogoča prikaz preostalega časa imeli popoln nadzor potekom programa elektronsko upravljanje omogoča lažje določanje željenih nastavitev učinkoviti programi voljo različni programi razlikujejo glede vrsto tkanine časovni okvir poseben program program lahko likanje manj umazano perilo osvežiti voljo hitri program tih invertni elektromotor invertni elektromotor omogoča tiho delovanje nima vgrajenih krtačk povzročajo piskajoč zvok motorja pralnega stroja potrebuje vzdrževanja krtačke izrabiti nima varno delovanje cev preprečuje izliv vode primeru prišlo poškodbe dotočne cevi uporabniku omogočeno brezskrbno upravljanje varno delovanje stroja,1
896,4329158,107,39338,bosch,bosch pralni stroj waw32540eu,letna poraba el energijeletna poraba električne energije temelji 220 standardnih ciklih pranjaletna poraba vodeletna poraba vode temelji 220 standardnih ciklih pranjaožemanjepodatek številu vrtljajev ožemanja pove hitrostjo obrača boben končanem pranju število vrtljajev 1600 vrtmin odvisno perilo koncu ožetofuzzy logic prilagajanje pranja glede vrsto količino perilaprilagajanje porabe vode glede vrsto količino perila stroj porabi manj vode manj perila več vode več perila posledično električne energije segrevanje vode poteka krajši časprilagajanje porabe vodeprilagajanje porabe vode glede vrsto količino perila stroj porabe monj vode manj perila več vode več perila stem posledično električne energije segrevanje vode poteka krajši časštevilčni zaslonzaslon izpisujejo številke zaslonu nastavite zamik vklopa največkrat prikazuje preostali čas pranja nastavitev zamika vklopavklop stroja lahko zamaknemo ur vnaprej timer tih invertni elektromotorinvertni elektromotor omogoča tiho delovanje nima vgrajenih krtačk povzročajo piskajoč zvok motorja pralnega stroja potrebuje vzdrževanja krtačke izrabiti nimaprogram updatemogoča nadgradnja programov pranja strani servisa boben nežno pranje perilaboben oblikovan ima večje število manjših luknjic posebno obliko zagotavlja bolj nežno pranje perila preprečuje muckanje perilapopolno varovanje stroja izlitju vode aqua stoppopolno zaščito izlivom vode omogoča električni sistem stroja sestavljen električnih ventilov dotočni cevi senzorjem strojem nadzira izpust vode senzor dnu stroja zazna izlito vodo stroj samodejno ustavi stroja izčrpa vodo dotočni cevi pipi zapre dotok vode poraba vode610 l podatek energetski nalepki pove porabi vode letni ravni pranju standardnem programu,4329158,1179,3713,bosch,pralni stroj bosch waw32540eu,pralnistroj novo obliko ecosilence drive uživajte vrhunsko delovnjem odlični vzdržjivosti ecosilence drive izjemno energijsko učinkovito tiho delovanje zelo dolgo življenkso dobo 10let jamstva inverter m,1
10835,7578398,440,811043,samsung,pralni stroj samsung ww70k44305wle a 7kg 1400 obrmin invertni motor,razred energetske učinkovitosti a zmogljivost pranja 7 kg število obratovmin 1400 obrmin razred učinkovitosti ožemanja n,12586631,107,71560,electrolux,electrolux pralni stroj ew2f727w,letna poraba el energijeletna poraba električne energije temelji 220 standardnih ciklih pranjaletna poraba vodeletna poraba vode temelji 220 standardnih ciklih pranjaožemanjepodatek številu vrtljajev ožemanja pove hitrostjo obrača boben končanem pranju število vrtljajev 1200 vrtmin odvisno perilo koncu ožetofuzzy logic prilagajanje pranja glede vrsto količino perilaprilagajanje porabe vode glede vrsto količino perila stroj porabi manj vode manj perila več vode več perila posledično električne energije segrevanje vode poteka krajši časnastavitev zamika vklopavklop stroja lahko zamaknemo ur vnaprej timer pozicioniranje bobnapri strojih zgornjim polnjenjem poznamo bobna položaj vrata bobna obrnjena navzgor odprtini stroja strojih nimajo pozicioniranje bobna potrebno končanem pranju odpreti vrata stroja roke obrniti boben stroja vrati navzgor obračanje bobna rokami težavno boben stroja pol mokrega perilaboben nežno pranje perilaboben oblikovan ima večje število manjših luknjic posebno obliko zagotavlja bolj nežno pranje perila preprečuje muckanje perilavarovanje dotočne cevi izlitju vodedvojna cev preprečuje izliv vode primeru prišlo poškodbe dotočne cevi,0
1642,5452975,342,884700,bosch,bosch pralni stroj wan28261by,pralni stroj bosch wan28261by zmogljivostjo 7 kg sodi energijski razred a± zaznamuje varioperfect tehnologija cenili activewater sistem odmerjanje količine perila,5452975,862,586279,bosch,wan28261by pralni stroj bosch,ecosilence drive izjemno energijsko učinkovito tiho delovanje zelo dolgo,1
10652,7417214,107,57952,aeg,aeg pralni stroj l7fee49s steam,pralni stroj aeg l7fee49s steam pralni stroj sprednjim polnjenjem ima zmogljivost pranja 9 kg perila energijskim razredom a zagotavlja nizko porabo energije vode nežno nego perila omogoča parna tehnologija posebni programi namenjeni različnim vrstam tkanin posebnosti nizka energijska poraba pralni stroj ponaša energijskim razredom a letni ravni porabi 152 kwh 10999 l vode glasnost pralnega stroja 51 db pranju 75 db ožemanju enostavna uporaba pralni stroj upravljate pomočjo vrtljivega gumba tipkami izbirali dodatne nastavitve zaslon omogoča prikaz preostalega časa zamik vklopa imeli popoln nadzor potekom programa učinkoviti programi voljo različni programi razlikujejo glede vrsto tkanine časovni okvir posebni programi namenjeni negi občutljivih tkanin volna manj umazano perilo osvežiti voljo hiter 30 minutni program namenjen 3 kg perila nežna zaščita pralni stroj odlikuje parna tehnologija lahko oblačila osvežili nežni kratki programi namenjeni pomečkanemu perilu perila odstraniti neprijetne vonjave posledično likanje perila porabili občutno manj časa ključna značilnost tehnologija prosense deluje pomočjo senzorjev zaznajo količino perila prilagodijo program glede vrsto tkanine količino perila pranje optimizirano maksimalno posledično zmanjšala energetska poraba,4405445,862,570238,bosch,wat24440by pralni stroj bosch,ecosilence drive motor l,0
12296,10952777,107,72108,gorenje,gorenje pralni stroj wei843a 732151,letna poraba el energijeletna poraba električne energije temelji 220 standardnih ciklih pranjaletna poraba vodeletna poraba vode temelji 220 standardnih ciklih pranjaožemanjepodatek številu vrtljajev ožemanja pove hitrostjo obrača boben končanem pranju število vrtljajev 1400 vrtmin odvisno perilo koncu ožetofuzzy logic prilagajanje pranja glede vrsto količino perilaprilagajanje porabe vode glede vrsto količino perila stroj porabi manj vode manj perila več vode več perila posledično električne energije segrevanje vode poteka krajši časštevilčni zaslonzaslon izpisujejo številke zaslonu nastavite zamik vklopa največkrat prikazuje preostali čas pranja tih invertni elektromotorinvertni elektromotor omogoča tiho delovanje nima vgrajenih krtačk povzročajo piskajoč zvok motorja pralnega stroja potrebuje vzdrževanja krtačke izrabiti nimaboben nežno pranje perilaboben oblikovan ima večje število manjših luknjic posebno obliko zagotavlja bolj nežno pranje perila preprečuje muckanje perilavarovanje dotočne cevi izlitju vodedvojna cev preprečuje izliv vode primeru prišlo poškodbe dotočne cevi,9641705,1179,3798,gorenje,pralni stroj gorenje wa866,energijski razred a barva izdelka bela inerter power drive motor boben wave active število obratov centrifuge 1600 obratovminuto polnitev pralni stroj 8kg prostornina bobna 54l vrs,0
3296,9099878,338,718274,whirlpool,whirlpool fwg81284w eu pralni stroj,,9099878,342,1054676,whirlpool,whirlpool pralni stroj fwg81284w eu,pralni stroj whirlpool fwg81284w eu sodi energijski razred a pohvali lahko številnimi programi pranja zmogljivostjo pranja 8kg,1
7761,9680362,114,18325231,gorenje,pralni stroj gorenje ws168lnst,pralni stroj nova generacija ws168lnst superior line odlikuje waveactive boben – unikatna oblika bobna prečk najboljšo nego perila iontech – ioni odstranijo 30 več madežev inverter powerdrive motor velik pregleden displej doseaid optimizir,9021106,114,18078686,bosch,pralni stroj bosch waw28590by,pralni stroj novo obliko ecosilence drive odlikuje tiho delovanju odlična vzdržljivosti ecosilence drive omogoča izjemno energijsko učinkovito tiho delovanje opere 50 varčnejše najboljšega energijskega razreda comfortcontrol prikazom p,0
6811,10855229,1006,5848,electrolux,pralni stroj electrolux ew6f328wu,,7417214,338,560030,aeg,aeg l7fee49s pralni stroj,,0
5870,9039493,342,1349734,bosch,bosch pralni stroj wat28411,bosch pralni stroj 58l bobnom zmogljivostjo pranja 7 kg visokokakovosten učinkovit priročen pomočnik čiščenju oblačil ostalih tkanin,6266367,342,882610,samsung,samsung pralni stroj ww80k6414qw,pralni stroj samsung ww80k6414qw ponaša zmogljivostjo pranja 8 kg perila spada energijski razred a izjemno tih lažje upravljanje poskrbi funkcija addwash možnost povezave wifijem,0
1515,5435987,825,15070,bosch,pralni stroj bosch wat28660by,pralni stroj inteligentnim sistemom avtomatskega doziranja,5435987,1780,5422,,pralni stroj bosch wat28660by,idos™ popolnoma avtomatsko natančno doziranje tekočih detergentov odlične rezultate pranja vario boben posebej nežno učikovito pranje zahvaljujoč edinstveni,1
7119,9634480,1780,6494,,pralni stroj gorenje wp723,boben waveactive edinstven vzorec bobna obliki valov posebna 3d rebra obliki valov zmehčajo vlakna obdelava oblačil izjemno nežna perilo popolnoma čisto zelo malo,4307118,1395,pralnistrojwt62112gorenje,,pralni stroj wt62112 gorenje,pralni strwt62112 gorenjepralni stroj wt62112 gorenjepralni stroj wt6112 polnjenjem zgoraj sodi energijski razred a naenkrat lahko opere 6 kg perilastability control nadzor stabilnosti sistem nadzor stabilnosti skrbi enakomerno porazdelitev perila bobnu senzor zazna neravnovesje zaustavi vrtenje bobna novo omogoči enakomerno porazdelitevtehnične značilnostienergijski razred abarva aparata belapolnitev pralni stroj 16 kgkolektorski motorštevilo obratov centrifuge 1100 obrminpolnitev pralni stroj 16 kgprostornina bobna 42 lled prikazovalnikprednastavitev začetka pranja startdelaynastavitev števila obratov centrifugenastavitev temperature18 programovposebni programi otroška oblačila sportwash ekolahko likanje lahko likanjesoftopen mehko odpiranje bobnačrpalka stopzaščita prelitjemkontrola stabilnosti scscarbotech kadletna poraba vode 8926 lnivo hrupa pranja 59 dbare 1 pwnivo hrupa ožemanja 75 dbare 1 pwmere aparata š×v×g 40 × 90 × 60 cmmere embaliranega aparata š×v×g 45 × 94 × 70 cmneto masa 62 kgbruto teža 64 kgporaba stanju mirovanja 011 wpriključna moč max 2100 w moč varovalke 10 a,0
3091,8844279,107,63068,electrolux,electrolux pralni stroj ew6f408wu,pralni stroj electrolux ew6f408wu eco timemanager omogoča prilagodite dolžino pranja glede čas imate voljo prihranili čas energijo kompromisov čistoči oblačil posebnosti prilagajanje programovsistem sensicare samodejno prilagodi program glede količino perila porabi manj energije vode preprečuje perilo pralo predolgo omogoča najbolj ekonomične cikle najmanjšo količino perila preprečevanje oblačila prepralasistem sensicare prilagaja dolžino programa glede količino perila porabi manj energije vode preprečuje perilo pralo predolgo omogoča najbolj ekonomične cikle najmanjšo količino perila prilagojena nega krajšem časunaš sistem sensicare prilagodi cikel prepreči prepranost oblačil oblačila ohranijo izgled dlje časa predhodno namakanjemožnost softplus predhodno namoči razporedi oblačila enakomernejše zagotovi vlakno doseženo kos oblačila občutek bolj nežen dlje časa diši svežem dodajte paro resnično čistočonaš antialergijski izparilnik kombinirana vodno paro visoko zmogljivimi programi pranja boljše odstranjevanje bakterij oblačil,8844279,1034,123701,electrolux,pralni stroj electrolux ew6f408wu,,1
6146,7417213,98,pralnistrojaegl6fbi48s,,pralni stroj aeg l6fbi48s,,8863708,107,67229,samsung,samsung pralni stroj ww70k5210uwle 137140,prostostoječi pralni stroj samsung ww70k5210uwle 137140 pralni stroj sprednjim polnjenjem ima zmogljivost pranja 7 kg perila energijskim razredom a zagotavlja nizko porabo energije vode letni ravni odlikuje pregleden številčni zaslon tih invertni elektromotor posebnosti nizka energijska poraba pralni stroj ponaša energijskim razredom a letni ravni porabi 122 kwh 7400 l vode glasnost pralnega stroja 54 db pranju 74 db ožemanju enostavna uporaba pralni stroj upravljate pomočjo vrtljivega gumba tipkami izbirali dodatne nastavitve številčni zaslon omogoča prikaz preostalega časa imeli popoln nadzor potekom programa nežna zaščita pralni stroj odlikuje boben nežno pranje perila boben oblikovan ima večje število manjših luknjic posebno obliko zagotavlja bolj nežno pranje perila preprečuje muckanje perila posledično likanje perila porabili občutno manj časa tih invertni elektromotor invertni elektromotor omogoča tiho delovanje nima vgrajenih krtačk povzročajo piskajoč zvok motorja pralnega stroja potrebuje vzdrževanja krtačke izrabiti nima,0
